Product Code	Product Name	Variant	Expected	Counted
14353736	Alooz chips-20tk		0	10
200ml	frutika-20tk		0	0
250ml	frutika-25tk		59	0
27845691	Cokacola 250ml		0	0
34273078	pinutbar		0	0
36461142	muffin cake (10 tk)		0	0
38561750	Vanilla Cake		0	0
38729954	Dry cake(15)		0	0
39568918	Lolipop drim		0	0
39761873	Nutty biscuit		0	0
41711259	Kitkat big		0	0
42016301	Lacchi (200 ml)		0	0
42604789	Dray milk 		0	0
42922237	Mango bar-10tk		0	0
44273013	Badab vaja		0	0
454466	Frooto ( 250 ml)		0	0
48132620	Max cola-18TK		0	0
49454623	Alooz chips		0	0
49684032	Furti Fan		0	0
50489239	Kachchhi Biryani		0	0
51309286	Dark Fantasy		0	0
52478831	Badam vhaja		0	0
53150044	Energy plus (mini)		0	0
54434954	Rolls		0	0
54545656	Hajam candy		0	0
55523728	Cup kek		0	0
55648863	Frooto (250 ml)		0	0
55770751	BADAM BHAJA		0	0
57889549	Peanut bar		0	0
59254228	Mango bar-10tk		0	0
62008236	Kitkat soto		0	0
62186292	Choconilla (121 ml)		0	0
62796999	Nutty Buskut		0	0
64614286	soft cake(20)		0	0
64916537	Putika 		0	0
65086882	Mafin cake		0	0
66036534	Patata		0	0
66677797	potato chips(pcb)		0	0
66725202	Cocotat		0	0
68062897	Mango bar-10tk		0	0
70758709	mr twist-20tk		0	0
73291945	Dew 		0	0
73366071	Mr. twist		0	0
74077009	Choko fan		0	0
76196098	Mama wefer-35tk		0	0
77043993	Delight candy		369	0
79171682	drinko		0	0
79212970	Pran up-18TK		0	0
79596230	Chocobean		0	0
7up	7Up		79	0
80165249	Frutika 		0	0
81643692	Wafar		0	0
81901621	Mum 		0	0
84110916	Orange		0	0
86377046	Dong dong		0	0
88192382	Badam Vhaja		0	0
89605724	Fanta 250ml		0	0
89625775	Dal vaja		0	0
90330955	Chocolate Cake		0	0
91717923	Patata		0	0
91959476	Shell & Core		0	0
94303847	Smile Cake-10tk		0	0
95020855	Mongo Bar		0	0
95790216	Coffee blast (cup)		0	0
96742631	lexus(mini)		0	0
98362887	Alooz chips		0	0
98584541	Pineapple		0	0
99697293	Vegetable Roll		0	0
ac	Alooz chips		152	0
bc	Burgur (Chicken)		0	0
bf	Black forest		0	0
bj	Badam juice		68	0
bjuice	Badam juice		0	0
bv	Badam Vhaja		183	0
candy	Toffeeto chocolate		416	0
cb	Chocobeen		0	0
cbar	Chocobar		4	0
cbb	chocobeen  (35tk)		102	0
cbl	Choco blast		2	0
cbm	Crunchy bar (mini)		7	0
cbmega	Crunchy bar mega		0	0
cc	Coca-cola		83	0
chana	Chanachur (bombay)		35	0
chmb	Champian biscuit		14	0
cj	Chocklet juice		79	0
ckb	Champian biscuit		0	0
cmd	Choclet milk		0	0
cofe	COFFEE		446	0
cpb	Chocklet plus biscuit		26	0
cr	Roll (chicken)		0	0
DK	Dry cake		0	0
DR	Drinko (250 ml)		22	0
dv	Dal vhaja		48	0
EP	Energy plus (68 gm)		52	0
f250	Frooto (250ml)		39	0
fb	Fit biscuit		9	0
fcb	First choice		31	0
firni	Firni		0	0
fiter	Chocobeen		0	0
fj250	Frutika		0	0
hb	Hazel beats		0	0
hc	Hojom candy		359	0
hhs	Hidden heart single		0	0
jhp	Jhal muri (pran)		0	0
jmb	Jhal muri (Bombay)		17	0
kj	Kulfi juice		54	0
l250	Lacchi -25TK		25	0
l400	Lemon		104	0
lb	Lemon biscuit		32	0
lc200	Lacchi-20tk		0	0
li	Lolly -Orange		36	0
lp	Whisle Lolly-pop		37	0
m250	Mirinda (250 ml)		23	0
mb	Milk plus biscuit		0	0
mbar	Mango bar		0	0
mbj	Mango juice (250 ml-packet)		0	0
mc	muffin cake 		170	0
mcan	Mango can		48	0
md	Mountain Due		50	0
mpb	Milk plus Biscuits		134	0
mrt	Mr.Twist		84	0
mt	Milk tea		139	0
mw	Mama wafer		6	0
mxc	Max-cola		91	0
nb	Nutty biscuit		64	0
ob	Orange biscuit		33	0
p250	Pepsi (250 ml)		70	0
pbar	Peanut bar		136	0
pcb	Potato crackers (bombay)		162	0
pcc	Pasta chips		123	0
psb	Potata spicy		0	0
psm	Potata spicy - (mini)		228	0
ptc	Tatul chatni		0	0
pudding	Pudding		0	0
pulse	Pulse (mango+lemon+tetul)		598	0
pup	Pran up		27	0
rinc	Ring chips		85	0
rm	Ripe mango		0	0
rt	Red tea (Masala)		67	0
s&c	Shell & Core		0	0
sc	Soft cake		20	0
smc	Smile cake		57	0
ss	Swarly sunday		0	0
sw	Sandwich		0	0
t250	Tango (250 ml)		0	0
tb	Tip biscut		25	0
tc	Treat chocolate		94	0
v100	Vanilla -100 ml (cup)		5	0
v121	Vanilla -121 ml		0	0
v500	Vanila-500		4	0
v7	Vanilla -72 ml		0	0
v72	Vanilla- 72 ml		5	0
w1000	Water  (kinley-1000 ml)		14	0
w500	Water  (kinley-500 ml)		21	0
wa	water 500ml		0	0
wdrkid	Wonder kid		0	0
zc	Zeros Chips		103	0
